2024-09-16,11:32:06,dataset,m,n,h,T,k_s,k_e,k_b,algorithm,pruning_rate,runtime
2024-09-16,11:32:10,audio,4,500,10,0.75,100,250,2,corr_join,1.0,4.256
2024-09-16,11:32:11,custom_financial,9,300,10,0.85,15,30,3,corr_join,0.778,0.29
2024-09-16,11:32:12,chlorine,10,512,64,0.9,16,32,2,corr_join,0.55,0.168
2024-09-16,11:32:14,gas,10,512,64,0.9,16,32,2,corr_join,0.56,0.142
2024-09-16,11:32:18,random,50,512,64,0.75,16,32,2,corr_join,0.51,1.368
2024-09-16,11:32:18,stock,10,512,64,0.9,16,32,2,corr_join,0.55,0.161
2024-09-16,11:32:20,synthetic,10,512,64,0.9,16,32,2,corr_join,0.55,0.115
2024-09-16,11:33:42,audio,4,500,10,0.75,100,250,2,brute_force_p_corr,0,0.988
2024-09-16,11:34:22,audio,4,500,10,0.75,100,250,2,brute_force_p_corr,0,0.983
2024-09-16,11:34:58,audio,4,500,10,0.75,100,250,2,brute_force_p_corr,0,0.984
2024-09-16,11:34:59,custom_financial,9,300,10,0.85,15,30,3,brute_force_p_corr,0,0.103
2024-09-16,11:35:00,chlorine,10,512,64,0.9,16,32,2,brute_force_p_corr,0,0.111
2024-09-16,11:35:01,gas,10,512,64,0.9,16,32,2,brute_force_p_corr,0,0.082
2024-09-16,11:35:05,random,50,512,64,0.75,16,32,2,brute_force_p_corr,0,0.879
2024-09-16,11:35:05,stock,10,512,64,0.9,16,32,2,brute_force_p_corr,0,0.117
2024-09-16,11:35:07,synthetic,10,512,64,0.9,16,32,2,brute_force_p_corr,0,0.058
2024-09-16,11:39:48,audio,4,500,10,0.75,100,250,2,brute_force_euc_dist,0,0.792
2024-09-16,11:39:48,custom_financial,9,300,10,0.85,15,30,3,brute_force_euc_dist,0,0.069
2024-09-16,11:39:50,chlorine,10,512,64,0.9,16,32,2,brute_force_euc_dist,0,0.136
2024-09-16,11:39:53,gas,10,512,64,0.9,16,32,2,brute_force_euc_dist,0,0.09
2024-09-16,11:39:57,random,50,512,64,0.75,16,32,2,brute_force_euc_dist,0,0.333
2024-09-16,11:39:58,stock,10,512,64,0.9,16,32,2,brute_force_euc_dist,0,0.157
2024-09-16,11:40:01,synthetic,10,512,64,0.9,16,32,2,brute_force_euc_dist,0,0.053
2024-09-16,11:46:06,audio,4,500,10,0.75,100,250,2,brute_force_p_corr,0,1.609
2024-09-16,11:46:06,custom_financial,9,300,10,0.85,15,30,3,brute_force_p_corr,0,0.167
2024-09-16,11:46:08,chlorine,10,512,64,0.9,16,32,2,brute_force_p_corr,0,0.18
2024-09-16,11:46:11,gas,10,512,64,0.9,16,32,2,brute_force_p_corr,0,0.133
2024-09-16,11:46:16,random,50,512,64,0.75,16,32,2,brute_force_p_corr,0,1.426
2024-09-16,11:46:17,stock,10,512,64,0.9,16,32,2,brute_force_p_corr,0,0.221
2024-09-16,11:46:21,synthetic,10,512,64,0.9,16,32,2,brute_force_p_corr,0,0.094
2024-09-16,11:47:12,audio,4,500,10,0.75,100,250,2,brute_force_euc_dist,0,0.791
2024-09-16,11:47:12,custom_financial,9,300,10,0.85,15,30,3,brute_force_euc_dist,0,0.07
2024-09-16,11:47:14,chlorine,10,512,64,0.9,16,32,2,brute_force_euc_dist,0,0.138
2024-09-16,11:47:17,gas,10,512,64,0.9,16,32,2,brute_force_euc_dist,0,0.091
2024-09-16,11:47:21,random,50,512,64,0.75,16,32,2,brute_force_euc_dist,0,0.333
2024-09-16,11:47:22,stock,10,512,64,0.9,16,32,2,brute_force_euc_dist,0,0.157
2024-09-16,11:47:25,synthetic,10,512,64,0.9,16,32,2,brute_force_euc_dist,0,0.053
2024-09-16,11:32:12,chlorine,10,512,64,0.88,16,32,2,corr_join,0.55,0.158
2024-09-16,11:32:12,chlorine,10,512,64,0.92,16,32,2,corr_join,0.55,0.178
2024-09-16,11:46:08,chlorine,10,512,64,0.88,16,32,2,brute_force_p_corr,0.1,0.17
2024-09-16,11:46:08,chlorine,10,512,64,0.92,16,32,2,brute_force_p_corr,0.1,0.19
2024-09-16,11:47:14,chlorine,10,512,64,0.88,16,32,2,brute_force_euc_dist,0,0.128
2024-09-16,11:47:14,chlorine,10,512,64,0.92,16,32,2,brute_force_euc_dist,0,0.148
2024-09-16,11:32:12,chlorine,10,511,64,0.9,16,32,2,corr_join,0.55,0.158
2024-09-16,11:32:12,chlorine,10,513,64,0.9,16,32,2,corr_join,0.55,0.178
2024-09-16,11:46:08,chlorine,10,511,64,0.9,16,32,2,brute_force_p_corr,0,0.17
2024-09-16,11:46:08,chlorine,10,513,64,0.9,16,32,2,brute_force_p_corr,0,0.19
2024-09-16,11:47:14,chlorine,10,511,64,0.9,16,32,2,brute_force_euc_dist,0.1,0.128
2024-09-16,11:47:14,chlorine,10,513,64,0.9,16,32,2,brute_force_euc_dist,0.1,0.148
